epoch,resnet_train_loss,resnet_val_loss,resnet_train_accuracy,resnet_val_accuracy,effnet_train_loss,effnet_val_loss,effnet_train_accuracy,effnet_val_accuracy
1,0.6066000461578369,0.4015570878982544,0.7592892646789551,0.8138967156410217,0.6077360510826111,0.4336656928062439,0.744032084941864,0.7930516600608826
2,0.5153204202651978,0.37758174538612366,0.8052954077720642,0.8272300362586975,0.5280933380126953,0.4109124541282654,0.79393470287323,0.8085445761680603
3,0.4590983986854553,0.33449819684028625,0.8303171396255493,0.8520187735557556,0.4994785487651825,0.37481749057769775,0.809567391872406,0.8333333134651184
4,0.40682873129844666,0.39821353554725647,0.8498697280883789,0.8125821352005005,0.47842201590538025,0.37355563044548035,0.8177827596664429,0.8322065472602844
5,0.3570181727409363,0.3629562258720398,0.8702673316001892,0.8474178314208984,0.4576506018638611,0.3583959937095642,0.8294251561164856,0.8399999737739563
6,0.2665661573410034,0.2609272301197052,0.9058751463890076,0.8858215808868408,0.4369046986103058,0.3452765941619873,0.8361148238182068,0.8499530553817749
7,0.23159006237983704,0.24689432978630066,0.917940080165863,0.8969014286994934,0.4236982464790344,0.33486929535865784,0.8446118831634521,0.8525821566581726
8,0.20829753577709198,0.23957574367523193,0.9287843704223633,0.9048826098442078,0.4034973382949829,0.33049628138542175,0.8518179655075073,0.8537089228630066
9,0.1902206540107727,0.22112753987312317,0.9361547231674194,0.9096713662147522,0.3886532187461853,0.3309526741504669,0.8570288419723511,0.8523943424224854
10,0.17570149898529053,0.2097925841808319,0.9408257603645325,0.9164319038391113,0.36790117621421814,0.34548887610435486,0.8671220541000366,0.8442253470420837
11,0.15682345628738403,0.21665224432945251,0.9477501511573792,0.9138967394828796,0.34924888610839844,0.29804983735084534,0.8749148845672607,0.8716431856155396
12,0.14753174781799316,0.21269217133522034,0.951130211353302,0.9147417545318604,0.3396129310131073,0.29530829191207886,0.880759596824646,0.8708920478820801
13,0.12665770947933197,0.20377136766910553,0.9593220949172974,0.9200000166893005,0.3349650502204895,0.2908425033092499,0.8790695667266846,0.876995325088501
14,0.12123292684555054,0.20777413249015808,0.9603314399719238,0.92075115442276,0.32969123125076294,0.30158016085624695,0.8840926885604858,0.8712676167488098
15,0.11621306091547012,0.2067301720380783,0.9622092247009277,0.9199060797691345,0.32808277010917664,0.28729546070098877,0.885853111743927,0.8746479153633118
16,0.11135751008987427,0.20221184194087982,0.9631481170654297,0.920845091342926,0.32663315534591675,0.28333795070648193,0.8862521648406982,0.8767136335372925
17,0.11001619696617126,0.19434918463230133,0.9649555087089539,0.9257277250289917,0.318107008934021,0.2837809920310974,0.8871675729751587,0.878685474395752
18,0.11437439918518066,0.19799022376537323,0.9627256393432617,0.9242253303527832,0.316360205411911,0.2841649353504181,0.8869328498840332,0.8815962672233582
19,0.10614477843046188,0.1940925568342209,0.9654484391212463,0.9257277250289917,0.3095816373825073,0.28495854139328003,0.8928948640823364,0.8789671659469604
20,0.1092088595032692,0.19223763048648834,0.9647442698478699,0.924131453037262,0.30874574184417725,0.27874264121055603,0.8934347629547119,0.8796244263648987
21,0.10622625797986984,0.19072848558425903,0.9659413695335388,0.9269483685493469,0.30794015526771545,0.2779884934425354,0.8922610878944397,0.8811267614364624
22,0.10775762796401978,0.19050873816013336,0.9655423164367676,0.9276995062828064,0.30651864409446716,0.27646952867507935,0.8929652571678162,0.8823474049568176
23,0.10605425387620926,0.19429852068424225,0.9655892848968506,0.9256337881088257,0.3071273863315582,0.2778317928314209,0.8928713798522949,0.8797183036804199
24,0.10590294748544693,0.1881130188703537,0.9648851156234741,0.9314553737640381,0.30652308464050293,0.2820780277252197,0.8923315405845642,0.8797183036804199
25,0.1049506813287735,0.19236283004283905,0.967021107673645,0.9297652840614319,0.3032093048095703,0.2742675840854645,0.8950543403625488,0.8861032724380493
